TABLE_NAME                                                                                        COLUMN_NAME                                                                                       RDB$FIELD_POSITION    RDB$FIELD_TYPE    RDB$FIELD_SUB_TYPE    RDB$FIELD_LENGTH    
MONEYFLOW                                                                                         DOCUMENTNUM                                                                                                       17                16                     1                   8    
MONEYFLOW                                                                                         DOCUMENTSUM                                                                                                       18                16                     1                   8    
MONEYFLOW                                                                                         PARTNERSHORTNAMEID                                                                                                19                 8                     0                   4    
MONEYFLOW                                                                                         DOCUMENTTYPEID                                                                                                    20                 8                     0                   4    
MONEYFLOW                                                                                         AVAILABILITY                                                                                                      21                16                     1                   8    
MONEYFLOW                                                                                         REPORTINGDATE                                                                                                     22                12                     0                   4    
MONEYFLOW                                                                                         POS                                                                                                               23                37                     0                  10    
MONEYFLOW                                                                                         ROWNOTEID                                                                                                         24                 8                     0                   4    
MONEYFLOW                                                                                         MONEYOUTDOCUMENTNUM                                                                                               25                 8                     0                   4    
MONEYFLOW                                                                                         PKONO                                                                                                             26                 8                     0                   4    
MONEYFLOW                                                                                         PAYSTATUS                                                                                                         27                14                     0                   1    
MONEYFLOW                                                                                         PERMITUSERNAMEID                                                                                                  28                 8                     0                   4    
MONEYFLOWAUTOACCOUNTING                                                                           ID                                                                                                                 0                 8                     0                   4    
MONEYFLOWAUTOACCOUNTING                                                                           LOCATIONID                                                                                                         1                 8                     0                   4    
MONEYFLOWAUTOACCOUNTING                                                                           SOURCEMONEYFLOWUNITID                                                                                              2                16                     1                   8    
MONEYFLOWAUTOACCOUNTING                                                                           USERID                                                                                                             3                16                     1                   8    
MONEYFLOWAUTOACCOUNTING                                                                           DESTINATIONMONEYFLOWUNITID                                                                                         4                16                     1                   8    
MONEYFLOWUNIT                                                                                     ID                                                                                                                 0                16                     1                   8    
MONEYFLOWUNIT                                                                                     LOCATIONID                                                                                                         1                 8                     0                   4    
MONEYFLOWUNIT                                                                                     NAME                                                                                                               2                37                     0                  25    
MONEYFLOWUNIT                                                                                     AVAILABILITY                                                                                                       3                16                     1                   8    
MONEYFLOWUNIT                                                                                     PAYMENTMETHOD                                                                                                      4                 7                     0                   2    
MONEYFLOWUNIT                                                                                     FISCALDEVICEID                                                                                                     5                 8                     0                   4    
MONEYFLOWUNIT                                                                                     ISCASH                                                                                                             6                14                     0                   1    
MONEYFLOWUNIT                                                                                     ISFISCAL                                                                                                           7                14                     0                   1    
MONEYFLOWUNIT                                                                                     BLOCKED                                                                                                            8                14                     0                   1    
MONEYFLOWUNITNAME                                                                                 ID                                                                                                                 0                 8                     0                   4    
MONEYFLOWUNITNAME                                                                                 NAME                                                                                                               1                37                     0                  25    
MONEYFLOWUNITPERMISSION                                                                           ID                                                                                                                 0                16                     1                   8    
MONEYFLOWUNITPERMISSION                                                                           LOCATIONID                                                                                                         1                 8                     0                   4    
MONEYFLOWUNITPERMISSION                                                                           MONEYFLOWUNITNAME                                                                                                  2                37                     0                  25    
MONEYFLOWUNITPERMISSION                                                                           USERNAME                                                                                                           3                37                     0                  50    
MONEYFLOWUNITPERMISSION                                                                           DEFAULTMONEYFLOWUNIT                                                                                               4                14                     0                   1    
MONEYTRANSFER                                                                                     ID                                                                                                                 0                 8                     0                   4    
MONEYTRANSFER                                                                                     LOCATIONID                                                                                                         1                 8                     0                   4    
MONEYTRANSFER                                                                                     DBTYPE                                                                                                             2                 8                     0                   4    
MONEYTRANSFER                                                                                     LOCATIONNAMEID                                                                                                     3                 8                     0                   4    
MONEYTRANSFER                                                                                     OPERATIONDATE                                                                                                      4                35                     0                   8    
MONEYTRANSFER                                                                                     SOURCEMONEYFLOWUNITID                                                                                              5                 8                     0                   4    
MONEYTRANSFER                                                                                     DESTINATIONMONEYFLOWUNITID                                                                                         6                 8                     0                   4    
MONEYTRANSFER                                                                                     TRANSFERSUM                                                                                                        7                16                     1                   8    
MONEYTRANSFER                                                                                     NOTE                                                                                                               8                37                     0                 100    
MONEYTRANSFER                                                                                     USERNAMEID                                                                                                         9                 8                     0                   4    
MYCOMPANY                                                                                         ID                                                                                                                 0                16                     1                   8    
MYCOMPANY                                                                                         LOCATIONID                                                                                                         1                 8                     0                   4    
MYCOMPANY                                                                                         COMPANYNAME                                                                                                        2                37                     0                 200    
MYCOMPANY                                                                                         CITY                                                                                                               3                37                     0                  30    
MYCOMPANY                                                                                         ADDRESS                                                                                                            4                37                     0                 200    
MYCOMPANY                                                                                         RESPONSIBLEPERSON                                                                                                  5                37                     0                  40    
MYCOMPANY                                                                                         TAXNUM                                                                                                             6                37                     0                  15    
MYCOMPANY                                                                                         VATREGISTRATION                                                                                                    7                14                     0                   1    
MYCOMPANY                                                                                         BANKACCOUNT                                                                                                        8                37                     0                  24    
MYCOMPANY                                                                                         BANKCODE                                                                                                           9                37                     0                  20    
MYCOMPANY                                                                                         BANKNAME                                                                                                          10                37                     0                  30    
MYCOMPANY                                                                                         NUMDIGGITINVOICING                                                                                                11                 8                     0                   4    
MYCOMPANY                                                                                         VATNUM                                                                                                            12                37                     0                  20    
MYCOMPANY                                                                                         INVOICENUM                                                                                                        13                16                     1                   8    
MYCOMPANY                                                                                         GLN                                                                                                               14                37                     0                  20    
MYCOMPANY                                                                                         DEPARTMENTNUM                                                                                                     15                 8                     0                   4    
MYCOMPANY                                                                                         FOREIGNINVOICENUM                                                                                                 16                16                     1                   8    
MYCOMPANY                                                                                         DEFAULTCOMPANY                                                                                                    17                14                     0                   1    
MYCOMPANY                                                                                         POSTALCODE                                                                                                        18                37                     0                  10    
NOMINAL                                                                                           ID                                                                                                                 0                 8                     0                   4    
NOMINAL                                                                                           LOCATIONID                                                                                                         1                 8                     0                   4    
NOMINAL                                                                                           CURRENCYID                                                                                                         2                 8                     0                   4    
NOMINAL                                                                                           NOMINALLABEL                                                                                                       3                37                     0                  10    
NOMINAL                                                                                           NOMINALVALUE                                                                                                       4                16                     1                   8    
OPERATIONCONTENT                                                                                  ID                                                                                                                 0                16                     1                   8    
OPERATIONCONTENT                                                                                  LOCATIONID                                                                                                         1                 8                     0                   4    
OPERATIONCONTENT                                                                                  DBTYPE                                                                                                             2                 7                     0                   2    
OPERATIONCONTENT                                                                                  NUM                                                                                                                3                 8                     0                   4    
OPERATIONCONTENT                                                                                  OPERATIONDOCTYPE                                                                                                   4                 8                     0                   4    
OPERATIONCONTENT                                                                                  STORAGEID                                                                                                          5                 8                     0                   4    
OPERATIONCONTENT                                                                                  MATERIALCODE                                                                                                       6                 8                     0                   4    
OPERATIONCONTENT                                                                                  MATERIALNAMEID                                                                                                     7                 8                     0                   4    
OPERATIONCONTENT                                                                                  UOMID                                                                                                              8                 8                     0                   4    
OPERATIONCONTENT                                                                                  QTY                                                                                                                9                16                     1                   8    
OPERATIONCONTENT                                                                                  PRICE                                                                                                             10                16                     1                   8    
OPERATIONCONTENT                                                                                  SALEPRICE                                                                                                         11                16                     1                   8    
OPERATIONCONTENT                                                                                  BESTBEFORE                                                                                                        12                12                     0                   4    
OPERATIONCONTENT                                                                                  MATERIALTYPEID                                                                                                    13                 8                     0                   4    
OPERATIONCONTENT                                                                                  STORAGECONDITIONID                                                                                                14                 8                     0                   4    
OPERATIONCONTENT                                                                                  PRODUCERID                                                                                                        15                 8                     0                   4    
OPERATIONCONTENT                                                                                  DELIVERYTIME                                                                                                      16                13                     0                   4    
OPERATIONCONTENT                                                                                  PRODUCERDOCUMENT                                                                                                  17                37                     0                  40    
OPERATIONCONTENT                                                                                  CATEGORYID                                                                                                        18                 8                     0                   4    
OPERATIONCONTENT                                                                                  BATCH                                                                                                             19                37                     0                  20    
OPERATIONCONTENT                                                                                  TRANSPORTTYPEID                                                                                                   20                 8                     0                   4    
OPERATIONCONTENT                                                                                  MATERIALATTRIBUTE01NAMEID                                                                                         21                 8                     0                   4    
OPERATIONCONTENT                                                                                  MATERIALATTRIBUTE02NAMEID                                                                                         22                 8                     0                   4    
OPERATIONCONTENT                                                                                  MATERIALATTRIBUTE03NAMEID                                                                                         23                 8                     0                   4    
OPERATIONCONTENT                                                                                  MATERIALATTRIBUTE04NAMEID                                                                                         24                 8                     0                   4    
OPERATIONCONTENT                                                                                  MATERIALATTRIBUTE05NAMEID                                                                                         25                 8                     0                   4    
OPERATIONCONTENT                                                                                  DISCOUNTPERCENTAGE                                                                                                26                 8                     1                   4    
OPERATIONCONTENT                                                                                  SPECIFICATIONNAMEID                                                                                               27                 8                     0                   4    
OPERATIONCONTENT                                                                                  MATERIALALTERNATIVENAMEID                                                                                         28                 8                     0                   4    
OPERATIONCONTENT                                                                                  BARCODEID                                                                                                         29                 8                     0                   4    
OPERATIONCONTENT                                                                                  REQUESTQTY                                                                                                        30                16                     1                   8    
OPERATIONCONTENT                                                                                  ROWNOTEID                                                                                                         31                 8                     0                   4    
OPERATIONCONTENT                                                                                  SERIALNUMVALUEID                                                                                                  32                 8                     0                   4    
OPERATIONCONTENT                                                                                  SECONDDELIVERYPRICE                                                                                               33                16                     1                   8    
OPERATIONCONTENT                                                                                  AVGDELIVERYPRICE                                                                                                  34                16                     1                   8    
OPERATIONCONTENT                                                                                  LASTDELIVERYPRICE                                                                                                 35                16                     1                   8    
OPERATIONCONTENT                                                                                  SECONDAVGDELIVERYPRICE                                                                                            36                16                     1                   8    
OPERATIONCONTENT                                                                                  SECONDLASTDELIVERYPRICE                                                                                           37                16                     1                   8    
OPERATIONCONTENT                                                                                  AVGDELIVERYPRICE1                                                                                                 38                16                     1                   8    
OPERATIONCONTENT                                                                                  LASTDELIVERYPRICE1                                                                                                39                16                     1                   8    
OPERATIONCONTENT                                                                                  AVGDELIVERYPRICEWOTAX                                                                                             40                16                     1                   8    
OPERATIONCONTENT                                                                                  LASTDELIVERYPRICEWOTAX                                                                                            41                16                     1                   8    
OPERATIONCONTENT                                                                                  AGREEDPRICE                                                                                                       42                16                     1                   8    
OPERATIONCONTENT                                                                                  AGREEDPRICESTARTDATE                                                                                              43                35                     0                   8    
OPERATIONCONTENT                                                                                  AGREEDPRICEENDDATE                                                                                                44                35                     0                   8    
OPERATIONCONTENT                                                                                  TAXGROUP                                                                                                          45                14                     0                   1    
OPERATIONCONTENT                                                                                  TAXPERCENTAGE                                                                                                     46                16                     1                   8    
OPERATIONCONTENT                                                                                  PRICEWOTAX                                                                                                        47                16                     1                   8    
OPERATIONCONTENT                                                                                  REQUESTCONNECTIONNUM                                                                                              48                 8                     0                   4    
OPERATIONCONTENT                                                                                  DELIVERYTYPEPRICE                                                                                                 49                14                     0                   1    
OPERATIONCONTENT                                                                                  CHECKQTY                                                                                                          50                16                     1                   8    
OPERATIONCONTENT                                                                                  COUNTRYORIGINID                                                                                                   51                 8                     0                   4    
OPERATIONCONTENT                                                                                  WASTEQTY                                                                                                          52                16                     1                   8    
OPERATIONDOCUMENT                                                                                 ID                                                                                                                 0                 8                     0                   4    
OPERATIONDOCUMENT                                                                                 LOCATIONID                                                                                                         1                 8                     0                   4    
OPERATIONDOCUMENT                                                                                 DBTYPE                                                                                                             2                 7                     0                   2    
OPERATIONDOCUMENT                                                                                 NUM                                                                                                                3                 8                     0                   4    
OPERATIONDOCUMENT                                                                                 OPERATIONDOCTYPE                                                                                                   4                 8                     0                   4    
OPERATIONDOCUMENT                                                                                 DOCUMENTNUM                                                                                                        5                16                     1                   8    
OPERATIONDOCUMENT                                                                                 DOCUMENTDATE                                                                                                       6                12                     0                   4    
OPERATIONDOCUMENT                                                                                 DOCUMENTTYPEID                                                                                                     7                 8                     0                   4    
OPERATIONDOCUMENT                                                                                 DATESAVED                                                                                                          8                35                     0                   8    
OPERATIONDOCUMENT                                                                                 DOCNOTE                                                                                                            9                37                     0                  30    
OPERATIONDOCUMENT                                                                                 DOCSUM                                                                                                            10                16                     1                   8    
OPERATIONDOCUMENT                                                                                 EQUATIONDOCNUM                                                                                                    11                16                     1                   8    
OPERATIONDOCUMENT                                                                                 EQUATIONTYPEID                                                                                                    12                 8                     0                   4    
OPERATIONDOCUMENT                                                                                 EQUATIONDOCDATE                                                                                                   13                12                     0                   4    
OPERATIONDOCUMENT                                                                                 EQUATIONDOCSUM                                                                                                    14                16                     1                   8    
OPERATIONDOCUMENT                                                                                 ACCOUNTINGEXPORT                                                                                                  15                14                     0                   1    
OPERATIONDOCUMENT                                                                                 TAXSUM1                                                                                                           16                37                     0                  30    
OPERATIONDOCUMENT                                                                                 TAXSUM2                                                                                                           17                37                     0                  30    
OPERATIONDOCUMENT                                                                                 TAXSUM3                                                                                                           18                37                     0                  30    
OPERATIONDOCUMENT                                                                                 DOCUMENTOUTNUM                                                                                                    19                16                     1                   8    
OPERATIONS                                                                                        ID                                                                                                                 0                16                     1                   8    
OPERATIONS                                                                                        DBTYPE                                                                                                             1                 7                     0                   2    
OPERATIONS                                                                                        LOCATIONID                                                                                                         2                 8                     0                   4    
OPERATIONS                                                                                        UNIQUENUM                                                                                                          3                 8                     0                   4    
OPERATIONS                                                                                        NUM                                                                                                                4                 8                     0                   4    
OPERATIONS                                                                                        OPERATIONDOCTYPE                                                                                                   5                 8                     0                   4    
OPERATIONS                                                                                        EXECUTEDATE                                                                                                        6                35                     0                   8    
OPERATIONS                                                                                        DOCUMENTNUM                                                                                                        7                16                     1                   8    
OPERATIONS                                                                                        DOCUMENTDATE                                                                                                       8                35                     0                   8    
OPERATIONS                                                                                        DOCUMENTTYPEID                                                                                                     9                 8                     0                   4    
OPERATIONS                                                                                        DOCUMENTSUM                                                                                                       10                16                     1                   8    
OPERATIONS                                                                                        USERID                                                                                                            11                 8                     0                   4    
OPERATIONS                                                                                        PARTNERNAMEID                                                                                                     12                 8                     0                   4    
OPERATIONS                                                                                        PARTNERCONTACTID                                                                                                  13                 8                     0                   4    
OPERATIONS                                                                                        PARTNERLOCATIONID                                                                                                 14                 8                     0                   4    
OPERATIONS                                                                                        PARTNERSHORTNAMEID                                                                                                15                 8                     0                   4    
OPERATIONS                                                                                        DEFERREDPAYMENT                                                                                                   16                14                     0                   1    
OPERATIONS                                                                                        DEFERREDPAYMENTSUM                                                                                                17                16                     1                   8    
OPERATIONS                                                                                        DEFERREDPAYMENTBACK                                                                                               18                12                     0                   4    
OPERATIONS                                                                                        RECIEVEUSERNAMEID                                                                                                 19                 8                     0                   4    
OPERATIONS                                                                                        MONEYFLOWUNITID                                                                                                   20                 8                     0                   4    
OPERATIONS                                                                                        MONEYFLOWUNITSUM                                                                                                  21                16                     1                   8    
